timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1715850750.5588682,0.22836587,0.0031957906,-0.26991114,0.22836587,0.0031957906,-0.26991114
1715850750.5611064,0.22836587,0.0031957906,-0.26991114,0.22836587,0.0031957906,-0.26991114
1715850750.563304,0.22836587,0.0031957906,-0.26991114,0.22836587,0.0031957906,-0.26991114
1715850750.5654726,0.22836587,0.0031957906,-0.26991114,0.22836587,0.0031957906,-0.26991114
1715850750.570287,0.3679154,-0.16192006,-0.32423958,0.3679154,-0.16192006,-0.32423958
1715850750.5754592,0.38922065,-0.26738113,-0.3764375,0.38922065,-0.26738113,-0.3764375
1715850750.5777757,0.38922065,-0.26738113,-0.3764375,0.38922065,-0.26738113,-0.3764375
1715850750.579856,0.38922065,-0.26738113,-0.3764375,0.38922065,-0.26738113,-0.3764375
1715850750.5820081,0.38922065,-0.26738113,-0.3764375,0.38922065,-0.26738113,-0.3764375
1715850750.5840478,0.38922065,-0.26738113,-0.3764375,0.38922065,-0.26738113,-0.3764375
1715850750.58609,0.38922065,-0.26738113,-0.3764375,0.38922065,-0.26738113,-0.3764375
1715850750.5883517,0.38922065,-0.26738113,-0.3764375,0.38922065,-0.26738113,-0.3764375
1715850750.5909739,0.38922065,-0.26738113,-0.3764375,0.38922065,-0.26738113,-0.3764375
1715850750.593267,0.38922065,-0.26738113,-0.3764375,0.38922065,-0.26738113,-0.3764375
1715850750.5952919,0.38922065,-0.26738113,-0.3764375,0.38922065,-0.26738113,-0.3764375
1715850750.5973108,0.38922065,-0.26738113,-0.3764375,0.38922065,-0.26738113,-0.3764375
1715850750.5994425,0.38922065,-0.26738113,-0.3764375,0.38922065,-0.26738113,-0.3764375
1715850750.601435,0.38922065,-0.26738113,-0.3764375,0.38922065,-0.26738113,-0.3764375
1715850750.6036127,0.38922065,-0.26738113,-0.3764375,0.38922065,-0.26738113,-0.3764375
1715850750.6056583,0.38922065,-0.26738113,-0.3764375,0.38922065,-0.26738113,-0.3764375
1715850750.6077151,0.38922065,-0.26738113,-0.3764375,0.38922065,-0.26738113,-0.3764375
1715850750.610307,0.38922065,-0.26738113,-0.3764375,0.38922065,-0.26738113,-0.3764375
1715850750.6126323,0.38922065,-0.26738113,-0.3764375,0.38922065,-0.26738113,-0.3764375
1715850750.631671,-0.35646382,-0.025566325,-0.56498915,-0.35646382,-0.025566325,-0.56498915
